# THIS FILE IS AUTOGENERATED AND IS OVERWRITTEN ON PLUGIN UPGRADE
# If you wish to have your own definitions, create a file named user.devicelist.csv in this directory
# Tab Delimited, No text delimiter
#regex	name	icon	profiles	default profile	generic?
###Acer###

# Guessing the "E" part since 3202 is non-E
android\.sph-d700\.samsung	Samsung Epic 4G	android	h264 800x480		
android\.sph-d700\.card\.samsung	Samsung Epic 4G (Card)	android	h264 800x480		
android\.gt-i9000\.samsung	Samsung Galaxy S	android	h264 800x480		
android\.gt-i9000\.card\.samsung	Samsung Galaxy S (Card)	android	h264 800x480		
android\.sph-m910\.samsung	Samsung Intercept	android	h264 400x240		
-\.card\.681[cd]\.gt-i5700\.04e8	Samsung Spica	android	h264 480x320		
android\.gti-5801\.samsung	Samsung Apollo	android	h264 400x240		
android\.gti-5800\.samsung	Samsung Galaxy 3	android	h264 400x240		
android\.gti-5500\.samsung	Samsung Galaxy 5	android	h264 320x240		
android\.sch-r880\.samsung	Samsung Acclaim	android	h264 480x320		
android\.gt-b3410\.1\.samsung	Samsung Corby Plus	android	h264 320x240		

# Guess
android\.gt-b3410\.samsung	Samsung Corby Plus	android	h264 320x240		
android\.gt-s5600\.samsung	Samsung GT-S5600	android	h264 320x240		
android\.s5230\.sdcard\.samsung	Samsung Tocco Lite	android	h264 400x240		
android\.sch-i500\.card\.samsung	Samsung Fascinate	android	h264 800x480		

# Also Spica/Portal, but there's more “Galaxy S” devices, so go with higher res
^.*\.681[cd]\.android\.04e8$	Samsung Galaxy S	android	default	h264 800x480	
android\.sgh-a887\.samsung	Samsung Solstice	android	default	h264 400x240	
android\.gt-i5503\.card\.samsung	Samsung Galaxy 5 (Card)	android	h264 320x240		

# Actually 432x240
android\.sgh-f490\.samsung	Samsung F490	android	h264 400x240		
android\.gt-m3710\.samsung	Samsung Corby Beat	android	h264 320x240		
android\.gt-i5500\.card\.samsung	Samsung Galaxy 5 (Card)	android	h264 320x240		
android\.gt-p1000l*\.samsung	Galaxy Tab	android	default	h264 1024x600	
android\.gt-p1000\.card\.samsung	Galaxy Tab (Card)	android	default	h264 1024x600	
android\.gt-s3650\.sdcard\.samsung	Samsung Corby S3650	android	h264 320x240		
android\.gt-c3510\^0\.samsung	Samsung Genoa/Corby Pop (0)	android	h264 320x240		
android\.gt-c3510\^1\.samsung	Samsung Genoa/Corby Pop (1)	android	h264 320x240		
android\.gt-b5722\^0\.samsung	Samsung B5722	android	h264 320x240		
android\.gt-s7070\.samsung	Samsung S7070 Diva	android	h264 320x240		
android\.gt-s3653\.sdcard\.samsung	Samsung S3653	android	h264 320x240		
android\.gt-m5650\.samsung	Samsung M5650 Lindy	android	h264 320x240		
android\.gt-m8800\.samsung	Samsung M8800 Pixon	android	h264 400x240		
android\.gt-b7722\.card\.samsung	Samsung B7722	android	h264 400x240		

# SHW-M110S
android\.shw-m110s\.samsung	Samsung Galaxy S	android	h264 800x480		

# SHW-M110S
android\.shw-m110s\.-\.card\.samsung	Samsung Galaxy S (Card)	android	h264 800x480		
android\.sgh-t669\.samsung	Samsung Gravity T	android	h264 320x240		
android\.sgh-t929\.samsung	Samsung Memoir	android	h264 400x240		

# h263/MP4
android\.gt-c3300k\.samsung	Samsung Champ	android	h264 320x240		
android\.sch-i400\.card\.samsung	Samsung Continuum	android	h264 800x480		

# Chinese
android\.sch-i909\.samsung	Samsung Galaxy S (SCH-I909)	android	h264 800x480		

# Chinese
android\.sch-i909\.card\.samsung	Samsung Galaxy S Card (SCH-I909)	android	h264 800x480		
android\.gt-i5800\.card\.samsung	Samsung Galaxy 580	android	h264 400x240		
ums\.composite\.685b\.android\.04e8	Samsung Galaxy S II	android	h264 800x480		


###Samsung Generic###
^android\..*\.samsung	%s	android	default	h264 480x320	


###Sony Ericsson###
.*\.storage\.[23de]137\.semc\.0fce	Xperia X10 Mini	android	h264 320x240		
.*\.storage\.[23de]12e\.semc\.0fce	Xperia X10	android	h264 800x480 LQ		

# unknown if it's the Mini Pro
.*\.storage\.[23de]138\.semc\.0fce	Xperia X10 Mini Pro	android	h264 320x240		

# Symbian supposedly supports h264 (guessing u1 Satio)
u1\.e10e\.0fce	U1 Satio	usb	default	h264 640x360	
.*\.storage\.[23de]15d\.semc\.0fce	Xperia Play	android	h264 800x480		


###zGeneric###
upnp\..*	%s	upnp	generic		
dlna\..*	%s	dlna	generic		
^SEC_HPP_(.*)$	%1	android	default		
